Max Power (W),Min Power (W),Average Power (W),Hour of Peak Power,Hour of Min Power,Different in Peak and Minimum Power (W),Difference in Peak and Minimum Hours
1080,250,715.2173913,2,14,830,12
1080,-88,565.9130435,1,19,1168,18
1152,-12,581.3043478,19,13,1164,6
1580,-62,563.4782609,20,10,1642,10
1580,-62,552.7826087,16,8,1642,8
882,146,466.7826087,4,17,736,13
1372,30,460.2608696,8,19,1342,11
1580,-62,519.3043478,10,5,1642,5
1348,40,421.6521739,9,20,1308,11
1580,-62,454.2608696,8,4,1642,4
1018,144,471.3913043,2,8,874,6
954,40,464.8695652,18,15,914,3
1320,-12,542.6956522,21,3,1332,18
1734,8,499.4782609,16,13,1726,3
1612,40,498,15,12,1572,3
1734,156,590.9565217,14,6,1578,8
1484,108,455.5652174,16,8,1376,8
954,40,467.9130435,12,10,914,2
1198,-88,472.4347826,13,2,1286,11
1580,-62,494.8695652,4,2,1642,2
1320,186,494.0869565,13,8,1134,5
1018,144,488.3478261,1,4,874,3
952,94,484.5217391,1,8,858,7
954,156,443.3043478,9,4,798,5
1612,120,504.6956522,9,14,1492,5
1224,8,472.9565217,4,7,1216,3
1348,32,514.0869565,3,20,1316,17
1734,186,528.173913,8,6,1548,2
1386,106,452.173913,16,22,1280,6
952,32,414.4347826,9,18,920,9
1644,106,446.3478261,8,23,1538,15
1734,156,514.2608696,7,3,1578,4
964,140,472.6086957,17,15,824,2
1484,108,441.1304348,8,4,1376,4
1214,120,540.5217391,22,10,1094,12
1078,2,411.3913043,21,19,1076,2
1764,0,490.3478261,21,14,1764,7
974,-88,483.2173913,16,1,1062,15
1320,-12,484.6086957,7,1,1332,6
1580,-62,586.6956522,2,1,1642,1
1080,112,505.826087,6,1,968,5
1078,186,471.3913043,18,4,892,14
1220,-66,509.3913043,18,16,1286,2
1454,144,516.2608696,22,2,1310,20
1612,32,561.5652174,5,12,1580,7
966,94,497.0434783,20,4,872,16
1792,-20,514,16,11,1812,5
1192,156,456.2608696,16,2,1036,14
1028,-158,476.3478261,19,14,1186,5
1486,120,482.173913,16,7,1366,9
1354,30,506.5217391,19,21,1324,2
1610,18,490.6086957,14,21,1592,7
1206,12,492.3478261,14,13,1194,1
1078,-16,476.2608696,14,22,1094,8
1214,-130,482.6086957,14,19,1344,5
1734,-32,600.3478261,4,20,1766,16
1354,2,461.4782609,17,12,1352,5
1596,-36,513.2173913,13,18,1632,5
1132,-122,385.3913043,13,23,1254,10
734,32,329.3043478,4,9,702,5
996,52,447.0434783,8,3,944,5
1644,-66,437.3913043,4,18,1710,14
1078,30,404.0869565,12,17,1048,5
1192,-16,456.7826087,12,19,1208,7
1316,-28,351.0434783,9,22,1344,13
1012,-16,431.826087,14,18,1028,4
1056,-48,435.7391304,14,21,1104,7
1484,-48,373.3043478,4,20,1532,16
810,138,383.1304348,11,19,672,8
1214,-168,378.3478261,11,17,1382,6
1570,-30,437.7391304,3,10,1600,7
1038,142,394.0869565,13,21,896,8
1452,-26,440.7826087,8,15,1478,7
1026,-30,390.4347826,10,19,1056,9
1612,44,421.0434783,3,20,1568,17
974,-28,416.9565217,8,22,1002,14
1214,2,381.2173913,10,22,1212,12
1038,-94,348.6956522,12,22,1132,10
1000,-30,345.6521739,1,9,1030,8
1580,-84,456,1,23,1664,22
1422,-146,382.173913,9,23,1568,14
1080,-122,359.6521739,3,23,1202,20
1418,-88,390.8695652,3,21,1506,18
1078,-68,301.0434783,9,23,1146,14
1086,-168,296.6086957,9,14,1254,5
1220,-98,291.2173913,9,13,1318,4
864,-36,300.4347826,7,12,900,5
1454,-110,363.9130435,11,22,1564,11
1744,-118,376.8695652,9,22,1862,13
952,-102,304.5217391,3,18,1054,15
1610,-106,349.9130435,8,21,1716,13
966,-84,313.0434783,10,20,1050,10
1344,-130,340.5217391,5,20,1474,15
1792,-178,334,8,18,1970,10
658,-130,247.7391304,8,11,788,3
1192,144,324.6956522,8,19,1048,11
1852,-170,350.3478261,8,14,2022,6
838,-188,257.5652174,8,19,1026,11
770,-54,264.0869565,3,20,824,17
1486,-70,316.0869565,8,21,1556,13
568,-146,244.7826087,8,17,714,9
898,-8,279.3913043,9,23,906,14
1254,-100,309.826087,1,19,1354,18
1610,-102,373.7391304,7,23,1712,16
1020,-70,326.6956522,1,20,1090,19
1206,28,336.4347826,7,11,1178,4
1472,-90,374.0869565,7,21,1562,14
1078,-134,280.6086957,7,19,1212,12
1132,-206,297.3043478,7,14,1338,7
1214,-54,335.0434783,7,18,1268,11
1764,-74,360.4347826,7,17,1838,10
1734,-66,421.826087,2,19,1800,17
1248,-78,310.173913,7,12,1326,5
730,-134,272,2,18,864,16
966,-84,306.6956522,8,16,1050,8
1386,-42,346.8695652,4,14,1428,10
1316,22,313.826087,5,11,1294,6
1036,-98,281.0434783,8,16,1134,8
632,-168,253.4782609,2,10,800,8
734,144,300.0869565,2,13,590,11
1454,-170,296.173913,8,17,1624,9
996,-146,314.2608696,4,18,1142,14
1080,-76,266.7826087,2,12,1156,10
1644,-130,324.0869565,2,15,1774,13
1150,-88,308.0869565,6,22,1238,16
1078,-40,254.6086957,6,18,1118,12
1068,-86,312.173913,1,16,1154,15
1192,-208,309.1304348,6,20,1400,14
1220,-124,296.0869565,6,15,1344,9
528,-90,225.7391304,1,23,618,22
894,-94,273.7391304,7,19,988,12
1012,-166,247.3043478,7,23,1178,16
1028,-188,285.0434783,7,14,1216,7
1056,-90,313.2173913,7,20,1146,13
996,-102,228.5217391,7,12,1098,5
1484,-62,297.4782609,2,22,1546,20
1020,-168,243.826087,2,15,1188,13
792,-166,239.4782609,2,22,958,20
692,-90,261.1304348,3,17,782,14
1196,-120,263.2173913,4,20,1316,16
554,-178,203.5652174,5,12,732,7
746,-70,226.173913,7,16,816,9
504,-94,209.826087,6,12,598,6
534,148,253.5652174,6,11,386,5
760,-194,265.0434783,4,14,954,10
1452,-84,328,4,21,1536,17
944,-108,263.1304348,5,20,1052,15
1026,-150,278,5,16,1176,11
1114,-202,244.5217391,5,17,1316,12
1150,-70,277.3043478,5,14,1220,9
1230,-130,272.3478261,5,9,1360,4
974,-66,321.9130435,4,14,1040,10
1086,-172,304.7826087,5,20,1258,15
1214,-150,305.3043478,5,23,1364,18
1392,-130,298.3478261,5,12,1522,7
1038,-158,176.5217391,6,13,1196,7
1016,-172,223.2173913,6,14,1188,8
876,-164,236.3478261,4,13,1040,9
1122,-90,234.2608696,5,20,1212,15
1486,-208,291.826087,5,16,1694,11
762,-150,241.3913043,6,22,912,16
630,-102,196.4347826,5,10,732,5
826,-62,215.9130435,3,7,888,4
582,-76,240.7826087,4,9,658,5
664,-102,233.6521739,6,11,766,5
500,-106,193.6521739,8,18,606,10
534,-44,231.1304348,15,9,578,6
404,142,211.3913043,8,9,262,1
534,-198,117.1304348,6,14,732,8
464,-172,149.2173913,3,18,636,15
530,-134,203.6521739,2,12,664,10
610,-76,190.5217391,14,10,686,4
542,-94,168.6956522,5,17,636,12
590,-36,215.5652174,5,6,626,1
788,-120,251.3043478,4,16,908,12
632,-110,241.5652174,3,11,742,8
634,-148,182.0869565,5,20,782,15
704,-118,228.3478261,5,11,822,6
702,-154,210.4347826,5,19,856,14
592,-278,139.9130435,5,23,870,18
496,-246,171.9130435,4,23,742,19
1610,-198,249.0434783,4,13,1808,9
866,-146,215.826087,5,12,1012,7
966,-102,214.173913,5,13,1068,8
1026,20,284.9565217,4,15,1006,11
1146,-130,232.0869565,4,10,1276,6
1018,-170,219.9130435,5,11,1188,6
1792,-178,252.9565217,4,9,1970,5
1078,-54,248.5217391,4,18,1132,14
658,-36,208.173913,4,18,694,14
830,-200,235.0434783,5,9,1030,4
1192,146,275.0434783,4,8,1046,4
1154,-154,255.3043478,4,14,1308,10
1852,-170,275.2173913,4,7,2022,3
1316,-142,234.3478261,3,20,1458,17
838,-108,249.7391304,4,15,946,11
620,-168,199.5652174,4,13,788,9
664,-54,184.6086957,5,10,718,5
832,-306,170.6086957,4,23,1138,19
1486,-144,224.6086957,4,20,1630,16
958,-220,212.6086957,4,20,1178,16
568,-432,193.3913043,4,23,1000,19
864,-322,218.6956522,3,23,1186,20
602,-364,146.8695652,1,23,966,22
558,-32,210.6086957,4,14,590,10
566,-124,174.9565217,5,18,690,13
464,-278,170.0869565,2,20,742,18
746,-86,234.5217391,2,22,832,20
512,-186,186.6086957,16,22,698,6
476,-352,123.826087,1,22,828,21
758,-474,143.826087,3,21,1232,18
996,-286,194.2608696,1,21,1282,20
1570,-112,238.8695652,1,19,1682,18
1150,-10,198.6086957,1,18,1160,17
1118,-152,187.9130435,1,11,1270,10
954,142,249.6521739,1,7,812,6
826,-198,163.826087,1,14,1024,13
828,-450,158.8695652,1,19,1278,18
926,-468,191.826087,1,20,1394,19
960,-352,202.6086957,1,21,1312,20
966,-440,176.3478261,1,22,1406,21
828,-448,198,1,22,1276,21
1162,-212,219.6521739,1,22,1374,21
1734,-106,311.6521739,1,20,1840,19
1612,-362,252.3478261,1,20,1974,19
1106,-430,154.0869565,1,23,1536,22
824,-512,147.3043478,1,23,1336,22
730,-464,122.0869565,1,23,1194,22
884,-242,203.7391304,4,23,1126,19
966,-278,190.8695652,4,18,1244,14
1012,-352,208.8695652,4,20,1364,16
1386,-466,259.4782609,2,19,1852,17
1004,-328,189.7391304,4,19,1332,15
1038,-328,169.4782609,4,22,1366,18
1046,-264,181.0434783,4,17,1310,13
1036,-354,145.1304348,4,20,1390,16
808,-366,154.2608696,4,20,1174,16
632,-334,150.0869565,1,17,966,16
716,-212,146.5217391,1,10,928,9
734,144,249.6521739,1,22,590,21
756,-86,191.3913043,1,15,842,14
1454,-282,214.2608696,4,21,1736,17
1422,-336,223.7391304,3,20,1758,17
996,-362,202.6086957,2,22,1358,20
1016,-520,173.3913043,1,22,1536,21
1080,-408,170.4347826,1,18,1488,17
1198,-404,190.6956522,1,19,1602,18
1644,-62,296.5217391,1,20,1706,19
1418,-450,194.9565217,1,23,1868,22
1150,-472,186.7826087,3,23,1622,20
1778,-466,203.4782609,3,21,2244,18
1078,-396,124.2608696,3,23,1474,20
810,-312,155.3043478,3,23,1122,20
972,-452,181.4782609,3,20,1424,17
1086,-256,177.2173913,3,20,1342,17
1192,-354,200.0869565,3,22,1546,19
1282,-406,157.826087,3,22,1688,19
1220,-350,135.7391304,3,18,1570,15
1764,-370,184.8695652,3,17,2134,14
450,-390,126.9565217,1,20,840,19
576,-452,108.3478261,3,20,1028,17
844,-368,178.2608696,3,17,1212,14
842,-194,173.9130435,3,9,1036,6
706,144,252.9565217,1,14,562,13
1122,-160,188,3,18,1282,15
822,-522,152.7826087,1,19,1344,18
1744,-354,250.0869565,3,20,2098,17
1016,-432,210.3478261,1,22,1448,21
1050,-550,170.7826087,1,22,1600,21
952,-498,123.2173913,1,22,1450,21
1030,-398,172.3478261,1,19,1428,18
1484,-416,193.0434783,1,23,1900,22
1320,-342,154.9565217,1,20,1662,19
1020,-320,174.5217391,1,18,1340,17
858,-428,146.2608696,1,23,1286,22
792,-464,69.04347826,1,19,1256,18
658,-456,161.6521739,1,16,1114,15
594,-450,156.8695652,2,20,1044,18
534,-512,130,2,17,1046,15
1196,-258,200.8695652,2,19,1454,17
854,-266,141.2173913,2,18,1120,16
514,-434,89.30434783,2,18,948,16
542,-374,117.4782609,1,16,916,15
454,-202,139.7391304,4,20,656,16
430,-310,152.2608696,3,20,740,17
504,-440,115.7391304,3,17,944,14
514,-182,162.5217391,3,14,696,11
534,146,205.5652174,3,21,388,18
660,-382,162.7826087,2,17,1042,15
760,-452,133.7391304,2,18,1212,16
