date,Max Power (W),Min Power (W),Average Power (W),Hour of Peak Power,Hour of Min Power,Different in Peak and Minimum Power (W),Difference in Peak and Minimum Hours,cluster
2011-01-01,1080,250,715.2173913,2,14,830,12,2
2011-01-02,1080,-88,565.9130435,1,19,1168,18,2
2011-01-03,1152,-12,581.3043478,19,13,1164,6,2
2011-01-04,1580,-62,563.4782609,20,10,1642,10,1
2011-01-05,1580,-62,552.7826087,16,8,1642,8,1
2011-01-06,882,146,466.7826087,4,17,736,13,0
2011-01-07,1372,30,460.2608696,8,19,1342,11,1
2011-01-08,1580,-62,519.3043478,10,5,1642,5,1
2011-01-09,1348,40,421.6521739,9,20,1308,11,1
2011-01-10,1580,-62,454.2608696,8,4,1642,4,1
2011-01-11,1018,144,471.3913043,2,8,874,6,2
2011-01-12,954,40,464.8695652,18,15,914,3,2
2011-01-13,1320,-12,542.6956522,21,3,1332,18,1
2011-01-14,1734,8,499.4782609,16,13,1726,3,1
2011-01-15,1612,40,498.0,15,12,1572,3,1
2011-01-16,1734,156,590.9565217,14,6,1578,8,1
2011-01-17,1484,108,455.5652174,16,8,1376,8,1
2011-01-18,954,40,467.9130435,12,10,914,2,2
2011-01-19,1198,-88,472.4347826,13,2,1286,11,2
2011-01-20,1580,-62,494.8695652,4,2,1642,2,1
2011-01-21,1320,186,494.0869565,13,8,1134,5,2
2011-01-22,1018,144,488.3478261,1,4,874,3,2
2011-01-23,952,94,484.5217391,1,8,858,7,2
2011-01-24,954,156,443.3043478,9,4,798,5,2
2011-01-25,1612,120,504.6956522,9,14,1492,5,1
2011-01-26,1224,8,472.9565217,4,7,1216,3,2
2011-01-27,1348,32,514.0869565,3,20,1316,17,1
2011-01-28,1734,186,528.173913,8,6,1548,2,1
2011-01-29,1386,106,452.173913,16,22,1280,6,1
2011-01-30,952,32,414.4347826,9,18,920,9,2
2011-01-31,1644,106,446.3478261,8,23,1538,15,1
2011-02-01,1734,156,514.2608696,7,3,1578,4,1
2011-02-02,964,140,472.6086957,17,15,824,2,2
2011-02-03,1484,108,441.1304348,8,4,1376,4,1
2011-02-04,1214,120,540.5217391,22,10,1094,12,2
2011-02-05,1078,2,411.3913043,21,19,1076,2,2
2011-02-06,1764,0,490.3478261,21,14,1764,7,1
2011-02-07,974,-88,483.2173913,16,1,1062,15,2
2011-02-08,1320,-12,484.6086957,7,1,1332,6,1
2011-02-09,1580,-62,586.6956522,2,1,1642,1,1
2011-02-10,1080,112,505.826087,6,1,968,5,2
2011-02-11,1078,186,471.3913043,18,4,892,14,2
2011-02-12,1220,-66,509.3913043,18,16,1286,2,2
2011-02-13,1454,144,516.2608696,22,2,1310,20,1
2011-02-14,1612,32,561.5652174,5,12,1580,7,1
2011-02-15,966,94,497.0434783,20,4,872,16,2
2011-02-16,1792,-20,514.0,16,11,1812,5,1
2011-02-17,1192,156,456.2608696,16,2,1036,14,2
2011-02-18,1028,-158,476.3478261,19,14,1186,5,2
2011-02-19,1486,120,482.173913,16,7,1366,9,1
